Generated with round.py version 0.1 on 2020-08-14 18:28
Campaign: 14
mean_mean	mean_sd	mean_hpd_3%	mean_hpd_97%	mean_mcse_mean	mean_mcse_sd	mean_ess_mean	mean_ess_sd	mean_ess_bulk	mean_ess_tail	mean_r_hat	mean_mode	yerr_mean	yerr_sd	yerr_hpd_3%	yerr_hpd_97%	yerr_mcse_mean	yerr_mcse_sd	yerr_ess_mean	yerr_ess_sd	yerr_ess_bulk	yerr_ess_tail	yerr_r_hat	yerr_mode	logamp_mean	logamp_sd	logamp_hpd_3%	logamp_hpd_97%	logamp_mcse_mean	logamp_mcse_sd	logamp_ess_mean	logamp_ess_sd	logamp_ess_bulk	logamp_ess_tail	logamp_r_hat	logamp_mode	logdQ_mean	logdQ_sd	logdQ_hpd_3%	logdQ_hpd_97%	logdQ_mcse_mean	logdQ_mcse_sd	logdQ_ess_mean	logdQ_ess_sd	logdQ_ess_bulk	logdQ_ess_tail	logdQ_r_hat	logdQ_mode	logS0_mean	logS0_sd	logS0_hpd_3%	logS0_hpd_97%	logS0_mcse_mean	logS0_mcse_sd	logS0_ess_mean	logS0_ess_sd	logS0_ess_bulk	logS0_ess_tail	logS0_r_hat	logS0_mode	P_mean	P_sd	P_hpd_3%	P_hpd_97%	P_mcse_mean	P_mcse_sd	P_ess_mean	P_ess_sd	P_ess_bulk	P_ess_tail	P_r_hat	P_mode	logQ0_mean	logQ0_sd	logQ0_hpd_3%	logQ0_hpd_97%	logQ0_mcse_mean	logQ0_mcse_sd	logQ0_ess_mean	logQ0_ess_sd	logQ0_ess_bulk	logQ0_ess_tail	logQ0_r_hat	logQ0_mode	mix_mean	mix_sd	mix_hpd_3%	mix_hpd_97%	mix_mcse_mean	mix_mcse_sd	mix_ess_mean	mix_ess_sd	mix_ess_bulk	mix_ess_tail	mix_r_hat	mix_mode	logw_mean	logw_sd	logw_hpd_3%	logw_hpd_97%	logw_mcse_mean	logw_mcse_sd	logw_ess_mean	logw_ess_sd	logw_ess_bulk	logw_ess_tail	logw_r_hat	logw_mode	epic	campaign
-3.504	8.591	-19.736	12.166	0.403	0.308	455.000	390.000	576.000	306.000	1.000	-6.311	16.631	0.192	16.305	17.008	0.007	0.005	834.000	831.000	841.000	684.000	1.000	16.728	6.460	0.457	5.582	7.274	0.027	0.019	282.000	277.000	301.000	391.000	1.020	6.421	-1.421	4.757	-9.933	9.469	0.302	0.214	248.000	248.000	285.000	341.000	1.010	-0.690	6.214	4.805	-2.666	14.997	0.175	0.147	756.000	537.000	740.000	673.000	1.000	6.043	7.437	2.606	3.878	12.309	0.202	0.143	167.000	167.000	168.000	310.000	1.020	5.532	-1.971	0.937	-3.604	-0.195	0.037	0.028	626.000	573.000	638.000	869.000	1.000	-2.558	0.479	0.306	0.009	0.939	0.014	0.010	470.000	466.000	418.000	336.000	1.000	0.082	-10.982	5.398	-19.821	-2.436	0.191	0.143	802.000	715.000	772.000	560.000	1.000	-19.567	267672347	14
-1.250	2.879	-6.496	2.792	0.666	0.597	19.000	12.000	18.000	22.000	1.070	0.319	16.571	0.167	16.282	16.810	0.042	0.030	16.000	16.000	16.000	26.000	1.130	16.282	6.404	0.426	5.836	7.014	0.092	0.066	21.000	21.000	22.000	26.000	1.000	6.688	-2.079	3.450	-7.286	2.208	0.847	0.610	17.000	17.000	26.000	22.000	1.000	-3.334	10.236	3.704	4.003	14.202	1.020	0.738	13.000	13.000	11.000	22.000	1.270	6.479	9.030	2.886	4.603	12.584	0.578	0.438	25.000	22.000	19.000	22.000	1.110	5.113	-2.841	1.798	-4.440	-0.406	0.352	0.252	26.000	26.000	26.000	22.000	1.130	-3.322	0.507	0.301	0.011	0.890	0.060	0.043	25.000	25.000	26.000	22.000	1.180	0.011	-10.748	4.215	-18.314	-5.007	0.826	0.591	26.000	26.000	26.000	22.000	1.010	-9.541	267672347	14
